URL,Código de resposta,Erro de notícias,Detectado,Categoria
http://www.scup.com/pt/blog/450/page/5/?utm_source=rss&utm_medium=rss&utm_campaign=450,404,,09/01/14,Não encontrado
http://www.scup.com/pt/novas-funcionalidades-do-scup-marco2013/001lista1/,404,,11/11/13,Não encontrado
http://www.scup.com/pt/turbine-sua-presenca-no-facebook-com-o-scup/foguete-fb-3/,404,,18/11/13,Não encontrado
http://www.scup.com/pt/eventos/treinamento-online-completo-2013-07-16/,404,,24/12/13,Não encontrado
http://www.scup.com/pt/eventos/treinamento-online-completo-2013-07-02/,404,,24/12/13,Não encontrado
http://www.scup.com/pt/turbine-sua-presenca-no-facebook-com-o-scup/foguete-fb/,404,,14/11/13,Não encontrado
http://www.scup.com/pt/eventos/treinamento-completo-2/feed/,404,,31/12/13,Não encontrado
http://www.scup.com/pt/eventos/novo-evento/feed/,404,,30/12/13,Não encontrado
http://www.scup.com/pt/novas-funcionalidades-do-scup-marco2013/001notificacao1-2/,404,,13/11/13,Não encontrado
http://www.scup.com/pt/eventos/treinamento-online-completo-2013-07-30/,404,,22/12/13,Não encontrado
http://www.scup.com/pt/blog/voce-sabe-como-subir-um-video-no-youtube-pela-ferramenta-o-scup-responde/regras-5,404,,03/02/14,Não encontrado
http://www.scup.com/pt/blog/category/melhores-praticas,404,,08/02/14,Não encontrado
http://www.scup.com/pt/blog/filme-%E2%80%9Cna-estrada%E2%80%9D-agrada-mas-publico-nas-midias-sociais-prefere-livro/busca-3,404,,05/02/14,Não encontrado
http://www.scup.com/pt/blog/voce-sabe-como-subir-um-video-no-youtube-pela-ferramenta-o-scup-responde/capturar4,404,,03/02/14,Não encontrado
http://www.scup.com/pt/blog/como-classificar-automaticamente-as-minhas-postagens-no-facebook/5dicas-2,404,,29/01/14,Não encontrado
http://www.scup.com/pt/eventos/treinamento-online-completo-2013-09-10/,404,,23/12/13,Não encontrado
http://www.scup.com/pt/blog/nas-regras-qual-e-a-diferenca-entre-o-com-a-palavra-ou-expressao-e-o-sem-a-palavra-ou-expressao-o-scup-responde/sem-titulo-6,404,,28/01/14,Não encontrado
http://www.scup.com/pt/blog/logica-de-buscas-aprenda-a-cadastrar-buscas-no-twitter/3-2,404,,01/02/14,Não encontrado
http://www.scup.com/pt/blog/otimizacao-do-monitoramento-exclusao-por-palavra/imagem4-2,404,,28/01/14,Não encontrado
http://www.scup.com/pt/blog/voce-sabe-como-subir-um-video-no-youtube-pela-ferramenta-o-scup-responde/capturar-6,404,,14/02/14,Não encontrado
http://www.scup.com/pt/blog/esta-chegando-social-media-day-sao-paulo-e-nesta-semana,404,,07/02/14,Não encontrado
http://www.scup.com/pt/blog/scup-pesquisa-cqc/comment-page-1,404,,14/02/14,Não encontrado
http://www.scup.com/pt/blog/o-que-e-o-klout-por-que-este-indice-aparece-apenas-em-alguns-itens-do-meu-monitoramento-o-scup-responde/attachment/0003,404,,14/02/14,Não encontrado
http://www.scup.com/pt/2011/02/18/chicago-high-school-sends-100-percent-of-graduates-to-college/,404,,03/02/14,Não encontrado
http://www.scup.com/pt/blog/quero-coletar-itens-em-espanhol-apenas-da-america-latina-mas-meu-monitoramento-esta-trazendo-itens-da-espanha-o-que-devo-fazer-o-scup-responde/sem-titulo-8,404,,28/01/14,Não encontrado
http://www.scup.com/pt/blog/voce-sabe-como-subir-um-video-no-youtube-pela-ferramenta-o-scup-responde/capturar2,404,,14/02/14,Não encontrado
http://www.scup.com/pt/blog/os-horarios-nobres-no-twitter..,404,,13/02/14,Não encontrado
http://www.scup.com/pt/blog/como-faco-para-criar-regras-por-texto-no-scup/regras7,404,,06/02/14,Não encontrado
http://www.scup.com/pt/blog/como-contar-a-quantidade-de-likes-e-compartilhamentos-da-minha-fan-page-o-scup-responde/scupresponde03,404,,03/02/14,Não encontrado
http://www.scup.com/pt/blog/por-que-eu-nao-apareco-na-busca-do-twitter/invisivel,404,,04/02/14,Não encontrado
http://www.scup.com/pt/blog/scup-tem-novo-tipo-de-busca-%E2%80%93-firehose-beta,404,,24/01/14,Não encontrado
http://www.scup.com/pt/blog/novas-funcionalidades-no-scup/rt-2,404,,31/01/14,Não encontrado
http://www.scup.com/pt/blog/addon-abrangencia-levando-seu-monitoramento-a-um-novo-nivel,404,,24/11/13,Não encontrado
http://www.scup.com/pt/blog/melhores-praticas-tagueamento-e-polarizacao/imagem9,404,,24/01/14,Não encontrado
http://www.scup.com/pt/blog/como-monitorar-os-grupos-do-linkedin-%E2%80%93-e-tirar-proveito-disso,404,,23/01/14,Não encontrado
http://www.scup.com/pt/blog/como-contar-a-quantidade-de-likes-e-compartilhamentos-da-minha-fan-page-o-scup-responde/scupresponde02,404,,25/01/14,Não encontrado
http://www.scup.com/pt/blog/o-que-e-o-klout-por-que-este-indice-aparece-apenas-em-alguns-itens-do-meu-monitoramento-o-scup-responde/0002-2,404,,05/02/14,Não encontrado
http://www.scup.com/pt/blog/video-como-cadastrar-e-alterar-tags-no-scup/comment-page-1,404,,14/02/14,Não encontrado
http://www.scup.com/pt/blog/novo-livro-do-scup-discute-monitoramento-e-metricas-de-midias-sociais/capa-livro-diego-2,404,,04/02/14,Não encontrado
http://www.scup.com/pt/blog/atendimento-nas-midias-sociais-como-faco-para-interagir-com-um-cliente-pelo-scup/com-comentario,404,,14/02/14,Não encontrado
http://www.scup.com/pt/blog/atendimento-nas-midias-sociais-como-faco-para-interagir-com-um-cliente-pelo-scup/com-video,404,,14/02/14,Não encontrado
http://www.scup.com/pt/blog/scup-realiza-debate-sobre-sac-2-0-e-relacionamento-com-transmissao-ao-vivo/scup-ideas-final,404,,07/02/14,Não encontrado
http://www.scup.com/pt/blog/qual-e-seu-nivel-de-maturidade-nas-midias-sociais/comment-page-1,404,,14/02/14,Não encontrado
http://www.scup.com/pt/blog/regras-o-que-sao-e-como-utilizar-em-seu-monitoramento/imagem-3,404,,29/01/14,Não encontrado
http://www.scup.com/pt/blog/por-que-a-quantidade-de-retweets-mostrada-pelo-twitter-e-diferente-da-mostrada-pelo-scup/0005-2,404,,14/02/14,Não encontrado
http://www.scup.com/pt/blog/os-horarios-nobres-do-twitter-no-brasil-2%C2%AA-edicao,404,,13/02/14,Não encontrado
http://www.scup.com/pt/blog/filtros-no-scup-economizando-seu-tempo/monitoramentos-scup_1263234121725,404,,04/02/14,Não encontrado
http://www.scup.com/pt/blog/guia-para,404,,14/02/14,Não encontrado
http://www.scup.com/pt/eventos/treinamento-presencial-%E2%80%A2-completo-2013-08-08/,404,,21/12/13,Não encontrado
http://www.scup.com/pt/os-horarios-nobres-do-twitter-no-brasil-2%C2%AA-edicao/Hor,404,,14/02/14,Não encontrado
http://www.scup.com/pt/blog/logica-de-buscas-aprenda-a-cadastrar-buscas-no-twitter/1imagem,404,,01/02/14,Não encontrado
http://www.scup.com/pt/eventos/treinamento-presencial-%E2%80%A2-completo-2013-08-22/,404,,18/12/13,Não encontrado
http://www.scup.com/pt/blog/monitorando-comunidades-do-orkut-beta/comment-page-1,404,,13/02/14,Não encontrado
http://www.scup.com/pt/blog/voce-sabia-que-e-possivel-usar-expre,404,,13/02/14,Não encontrado
http://www.scup.com/pt/blog/atualizacao-do-facebook/moderacao_facebook,404,,12/02/14,Não encontrado
http://www.scup.com/pt/blog/author/jony/,404,,11/02/14,Não encontrado
http://www.scup.com/pt/novas-funcionalidades-do-scup-marco2013/001notificacao1/,404,,13/11/13,Não encontrado
http://www.scup.com/pt/blog/nao-estou-conseguindo-responder-as-mensagens-privadas-do-facebook-o-que-pode-ser-o-scup-responde/scup3,404,,11/02/14,Não encontrado
http://www.scup.com/pt/blog/melhores-praticas-tagueamento-e-polarizacao/imagem4,404,,10/02/14,Não encontrado
http://www.scup.com/pt/blog/melhores-praticas-tagueamento-e-polarizacao/tags2,404,,10/02/14,Não encontrado
http://www.scup.com/pt/blog/como-classificar-automaticamente-as-minhas-postagens-no-facebook/sem-titulo-5,404,,10/02/14,Não encontrado
